"id","egk","trains","speed","hour","coll"
338611,0.34734454340058,6.00516492739857,93.7062640786254,5,0
338611,0.34734454340058,5.21743449726045,83.2813563850478,6,0
338611,0.34734454340058,4.62836189797628,96.5325115944002,7,0
338611,0.34734454340058,4.3923175464112,95.6157178150964,8,0
338611,0.34734454340058,4.0804696240773,90.2321427595807,9,0
338611,0.34734454340058,3.93075199466483,89.8845983125753,10,0
338611,0.34734454340058,3.64920435541305,90.3776217062887,11,0
338611,0.34734454340058,4.1390010802692,91.7230916760981,12,0
338611,0.34734454340058,3.64920435541305,84.9080406756158,13,0
338611,0.34734454340058,4.19303011675403,90.3326979848139,14,0
338611,0.34734454340058,4.13903532650215,90.3372118174352,15,0
338611,0.34734454340058,4.13903532650215,89.6113932874529,16,0
338611,0.34734454340058,4.46576137404299,93.2187140517942,17,0
338611,0.34734454340058,4.30022157581332,89.1306457076054,18,0
338611,0.34734454340058,3.76522013201219,84.8832156441452,19,0
338611,0.34734454340058,3.4958541064324,87.797042440997,20,0
338611,0.34734454340058,3.11812197241666,93.1535973708894,21,0
338611,0.34734454340058,3.61522008509051,91.8703633389356,22,0
338611,0.34734454340058,3.03565235780885,92.9605858290932,23,0
338630,0.00820932396405442,3.83455315671903,42.7094282709941,0,0
338630,0.00820932396405442,2.27232779657424,42.7094282709941,1,0
338630,0.00820932396405442,21.2932530780187,34.9997570057531,5,0
338630,0.00820932396405442,13.892433105904,37.463420695891,6,0
338630,0.00820932396405442,7.81864412933955,37.6467274226416,7,0
338630,0.00820932396405442,16.2446415924321,36.2589619972789,8,0
338630,0.00820932396405442,12.7180436118421,38.9385130123173,9,0
338630,0.00820932396405442,14.9092694593097,36.8068276473936,10,0
338630,0.00820932396405442,9.09765493247616,38.5697134160239,11,0
338630,0.00820932396405442,9.22243617396299,39.0308732949477,12,0
338630,0.00820932396405442,11.7740183686501,38.751713810982,13,0
338630,0.00820932396405442,16.3466340968021,37.2912043987517,14,0
338630,0.00820932396405442,10.7197410262465,40.1230478967042,15,0
338630,0.00820932396405442,14.6394093840579,39.6457778787888,16,0
338630,0.00820932396405442,11.2016487616283,38.762365674832,17,0
338630,0.00820932396405442,10.8409302248952,39.4208377287921,18,0
338630,0.00820932396405442,9.59694813305331,39.7087518503749,19,0
338630,0.00820932396405442,13.9526393724646,37.5787908473351,20,0
338630,0.00820932396405442,10.5679101856831,41.2067261683894,21,0
338630,0.00820932396405442,10.4471596435975,38.1252098854216,22,0
338630,0.00820932396405442,5.08619983382426,41.1048290016135,23,0
338631,0.0204083025126712,41.2207362450847,16.5232306059443,5,0
338631,0.0204083025126712,30.915250091043,26.4525308561514,6,0
338631,0.0204083025126712,25.762960153178,37.9344718609644,7,0
338631,0.0204083025126712,36.5253759342011,29.4408721249483,8,0
338631,0.0204083025126712,62.5420614066496,27.6789504558064,9,0
338631,0.0204083025126712,29.9668787001285,31.0730043873893,10,0
338631,0.0204083025126712,17.1245544854714,34.1320106361309,11,0
338631,0.0204083025126712,27.5192372568864,27.1464345784023,12,0
338631,0.0204083025126712,26.7167746380576,30.7229126192397,13,0
338631,0.0204083025126712,33.858680295153,33.0845830660484,14,0
338631,0.0204083025126712,32.0640222083839,37.1057682727922,15,0
338631,0.0204083025126712,35.2476088389813,39.936614314387,16,0
338631,0.0204083025126712,27.3484965238428,32.1306225417384,17,0
338631,0.0204083025126712,31.7501224354287,35.622932139008,18,0
338631,0.0204083025126712,30.771988271183,29.5899083516104,19,0
338631,0.0204083025126712,24.1761491426841,33.4858721340306,20,0
338631,0.0204083025126712,15.2536456619792,32.9166007970484,21,0
338631,0.0204083025126712,20.2208416986904,22.7413726620435,22,0
338631,0.0204083025126712,12.881480076589,37.9344718609644,23,0
338632,0.0164340943191268,41.3924548797581,48.5426186715347,5,0
338632,0.0164340943191268,31.4718381850945,43.4250870097039,6,0
338632,0.0164340943191268,24.4152364774496,45.6966104058811,7,0
338632,0.0164340943191268,23.9934121941693,34.8907148767859,8,0
338632,0.0164340943191268,26.1533385018385,32.5024609471318,9,0
338632,0.0164340943191268,18.191960298864,38.7672241104404,10,0
338632,0.0164340943191268,14.3445781533108,36.0706704483003,11,0
338632,0.0164340943191268,22.8638387116285,43.2402641773647,12,0
338632,0.0164340943191268,26.8287129890404,42.0925933260654,13,0
338632,0.0164340943191268,23.1268562051865,43.0602458071897,14,0
338632,0.0164340943191268,25.4926026766534,54.4050168255968,15,0
338632,0.0164340943191268,26.7029191157554,43.6166759584655,16,0
338632,0.0164340943191268,21.7818985922854,41.4721982414722,17,0
338632,0.0164340943191268,25.5923667683473,34.0437223806445,18,0
338632,0.0164340943191268,30.9009283534483,32.2951370899298,19,0
338632,0.0164340943191268,20.145098340081,47.0561021594628,20,0
338632,0.0164340943191268,16.1924742010253,34.5019886724278,21,0
338632,0.0164340943191268,36.6499382796713,46.2225206082403,22,0
338632,0.0164340943191268,12.9352723340016,27.2017695287378,23,0
338633,0.0260276099175097,11.4242950000055,51.0909078340865,5,0
338633,0.0260276099175097,8.92523046875429,44.0398912733711,6,0
338633,0.0260276099175097,7.55211808894594,46.126072434838,7,0
338633,0.0260276099175097,7.88434921416654,37.3188619974178,8,0
338633,0.0260276099175097,7.82692023053596,32.7892410222959,9,0
338633,0.0260276099175097,6.55510408440308,43.1703712537205,10,0
338633,0.0260276099175097,6.51016810662078,35.6837725825024,11,0
338633,0.0260276099175097,6.44919879032568,43.3844012606055,12,0
338633,0.0260276099175097,7.40463564815171,42.5936515875821,13,0
338633,0.0260276099175097,6.34633978489695,43.9473239584529,14,0
338633,0.0260276099175097,7.40463564815171,55.0288063546871,15,0
338633,0.0260276099175097,7.25174975586287,43.9804264212116,16,0
338633,0.0260276099175097,6.07298104140807,42.255029183379,17,0
338633,0.0260276099175097,6.90985584677752,33.9196566586518,18,0
338633,0.0260276099175097,8.52855355903188,32.5531756408483,19,0
338633,0.0260276099175097,5.65227788554815,47.1937558468059,20,0
338633,0.0260276099175097,7.35018979779765,32.8498270700523,21,0
338633,0.0260276099175097,10.1152611979215,47.1607734191357,22,0
338633,0.0260276099175097,3.57009218750172,26.3952236654551,23,0
338844,0.0465950719108237,0.0682268488524177,92.8920445816393,6,0
338844,0.0465950719108237,0.0341134244262088,92.8920445816393,8,0
338844,0.0465950719108237,0.0682268488524177,82.3085851870596,10,0
338844,0.0465950719108237,0.0341134244262088,83.4051974754293,11,0
338844,0.0465950719108237,0.0341134244262088,92.8920445816393,12,0
338844,0.0465950719108237,0.0341134244262088,90.3236009526539,15,0
338844,0.0465950719108237,0.0575664037192274,89.1734839126946,16,0
338844,0.0465950719108237,0.109162958163868,92.8920445816393,18,0
338844,0.0465950719108237,0.0341134244262088,83.4051974754293,21,0
338845,0.0282230550539459,4.72736832025292,92.3649998492487,6,0
